the company paid an average of 300 dollars for each douglas fir and 250 dollars for each ponderosa pine . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	the company paid an average of 300 dollars for each douglas fir . the company paid an average of 250 dollars for each ponderosa pine .
there are 22 chickens and cows on a farm . CANNOTDISTRIBUTE	NP0 VBP0 CD0 NNS0 CC0 NNS0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many shots of two point baskets and how many shots of three point baskets were made ? CANNOTDISTRIBUTE	X0 X1 X2 X3 X4 X5 X6 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 .0 CANNOTDISTRIBUTE	how many shots of two point baskets were made ? how many shots of three point baskets were made ?
sandy made 400 copies , some of which were colored and the rest white . CANNOTDISTRIBUTE	JJ0 VBN0 NP0 NP1 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	sandy made 400 copies , some of which were colored . sandy made 400 copies , some of which were white .
you have 160 dollars and save 7 dollars per week . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	you have 160 dollars . you save 7 dollars per week .
juan is on his bike and travels 3 miles per hour faster than peter who is on his skateboard . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 .0 CANNOTDISTRIBUTE	juan is on his bike . juan travels 3 miles per hour faster than peter who is on his skateboard .
she spent $ 13 .99 on shorts , $ 12 .14 on a shirt , and $ 7 .43 on a jacket . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 PP0 PP1 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	she spent $13 .99 on shorts . she spent $12 .14 on a shirt . she spent $7 .43 on a jacket .
there are 9 pencils and 4 rulers in the drawer . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 9 pencils in the drawer . there are 4 rulers in the drawer .
sam found 18 seashells and mary found 47 seashells on the beach . CANNOTDISTRIBUTE	NP0 VBD0 CD0 NNS0 CC0 NN0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	sam found 18 seashells on the beach . mary found 47 seashells on the beach .
each student ticket costs 0 .50 dollars each , and each non student ticket costs 1 .50 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 .0 CANNOTDISTRIBUTE	each student ticket costs 0 .50 dollars each each non-student ticket costs 1 .50 dollars each .
one unit of whole wheat flour has 13 .6 grams of protein and 2 .5 grams of fat . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	one unit of whole wheat flour has 13 .6 grams of protein . one unit of whole wheat flour has 2 .5 grams of fat .
tickets for a concert were priced at 7 dollars for students and 10 dollars for non students . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 VBN0 PP0 PP1 PP2 PP3 PP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	tickets for a concert were priced at 7 dollars for students . tickets for a concert were priced at 10 dollars for non-students .
the second plan has an 8 dollars monthly fee and charges an additional 0 .18 dollars for each minute of calls . CANNOTDISTRIBUTE	NP0 NP1 NP2 VP0 VP1 VP2 VP3 VP4 VP5 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 .0 CANNOTDISTRIBUTE	the second plan has an 8 dollars monthly fee . the second plan charges an additional 0 .18 dollars for each minute of calls .
in a given week , the first car gets an average of 30 miles per gallon , and the second car gets 25 miles per gallon . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	in a given week , the first car gets an average of 30 miles per gallon . in a given week , the second car gets an average of 25 miles per gallon .
the sum of 0 .75 of a number and two is eight . CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 PP2 PP3 PP4 PP5 CC0 NP0 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a restaurant served 5 cakes during lunch and 6 during dinner today . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 CC0 NP0 PP0 PP1 NP0 .0 CANNOTDISTRIBUTE	a restaurant served 5 cakes during lunch today . a restaurant served 6 cakes during dinner today .
if the company ordered a total of 2992 forks , how many adults and how many children will be attending the event ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 ,0 WHNP0 WHNP1 WHNP2 CC0 WHNP0 WHNP1 WHNP2 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	if the company ordered a total of 2992 forks , how many adults will be attending the event ? if the company ordered a total of 2992 forks , how many children will be attending the event ?
a recent city ordinance decreed that only cars with 4 wheels and trucks with six wheels could be on the bridge at any given time . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 IN0 NP0 NP1 IN0 CD0 NNS0 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many pounds of peanuts and cashews would you use to make 25 pounds of a mixure that sells for 92 dollars ? CANNOTDISTRIBUTE	NP0 NP1 NP2 IN0 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 SQ6 SQ7 SQ8 SQ9 SQ10 SQ11 SQ12 SQ13 SQ14 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a farmer has cows and chickens . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	a farmer has cows . a farmer has chickens .
jackie has coffee that sells for 9 dollars per pound and coffee that sells for 4 dollars per pound . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	jackie has coffee that sells for 9 dollars per pound . jackie has coffee that sells for 4 dollars per pound .
there are 2 point and 4 point questions on the test . CANNOTDISTRIBUTE	NP0 VBP0 CD0 NN0 CC0 CD0 NN0 NNS0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 2-point questions on the test . there are 4-point questions on the test .
the product of 10 and a number is the same as 36 less twice that same number . CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 CC0 DT0 NN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
sandy had 36 pennies and 31 nickels in her bank . CANNOTDISTRIBUTE	JJ0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	sandy had 36 pennies in her bank sandy had 31 nickels in her bank
what amount of peanuts and what amount of cashews must be used ? CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 CC0 WHNP0 WHNP1 WHNP2 WHNP3 S0 S1 S2 .0 CANNOTDISTRIBUTE	what amount of peanuts must be used ? what amount of cashews must be used ?
a box of peppermint cost 1 .00 dollars a box and candy canes cost 1 .30 dollars a box . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 CC0 NN0 NNS0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	a box of peppermint cost 1 .00 dollars a box a box of candy canes cost 1 .30 dollars a box .
keith spent $ 6 .51 on a rabbit toy , $ 5 .79 on pet food , and a cage cost him $ 12 .51 . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 VP13 VP14 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	keith spent $6 .51 on a rabbit toy keith spent $5 .79 on pet food a cage cost keith $12 .51
to the nearest tenth , find the number of units of whole wheat flour and whole milk that must be mixed to make dough that has 75 grams of protein and 15 grams of fat . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 VB0 NP0 NP1 IN0 NP0 IN0 NP0 NP1 NP2 CC0 NP0 NP1 WHNP0 MD0 VB0 ADJP0 TO0 VB0 NP0 WHNP0 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	to the nearest tenth , find the number of units of whole wheat flour and whole milk that must be mixed to make dough that has 75 grams of protein . to the nearest tenth , find the number of units of whole wheat flour and whole milk that must be mixed to make dough that has 15 grams of fat .
the old lamp was 1 foot tall and the new lamp is 2 .3333333333333335 feet tall . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	the old lamp was 1 foot tall the new lamp was 2 .3333333333333335 feet tall
she went to 13 games last year and plans to go to 15 games next year . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	she went to 13 games last year . she plans to went to 15 games next year .
the sum of 0 .75 of a number and two is eight . CANNOTDISTRIBUTE	NP0 NP1 PP0 PP1 PP2 PP3 PP4 PP5 CC0 NP0 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a restaurant served 9 pizzas during lunch and 6 during dinner today . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 CC0 NP0 PP0 PP1 NP0 .0 CANNOTDISTRIBUTE	a restaurant served 9 pizzas during lunch today . a restaurant served 6 pizzas during dinner today .
you sell 525 tickets and collect 2876 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	you sell 525 tickets . you collect 2876 dollars .
how many chickens and cows are in the barnyard ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	how many chickens are in the barnyard ? how many cows are in the barnyard ?
a grocer bought 12 bushels of baldwin and mcinotosh apples . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 IN0 NN0 CC0 VB0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tim had 7 quarters and 9 nickels in his bank . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	tim had 7 quarters in his bank . tim had 9 nickels in his bank .
a 200 seat theater charges 3 .00 dollars for adults and 1 .50 dollars for children . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	a 200 seat theater charges 3 .00 dollars for adults . a 200 seat theater charges 1 .50 dollars for children .
there are two point and five point questions on the test . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 NP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are two-point questions on the test . there are five-point questions on the test .
the difference between two numbers is 20 and their sum is 48 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	the difference between two numbers is 20 . the sum the numbers is 48 .
at a movie theater , tickets cost 9 .50 dollars for adults and 6 .50 dollars for children . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	at a movie theater , tickets cost 9 .50 dollars for adults . at a movie theater , tickets cost 6 .50 dollars for children .
find the price of an adult 's ticket and a child 's ticket . . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 .0 CANNOTDISTRIBUTE	find the price of an adult 's ticket find the price of a child 's ticket
soybean meal is 16 % protein and cornmeal is 8 % . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 CC0 NP0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	soybean meal is 16 % protein . cornmeal is 8 % protein .
a girl saves 1 dollar coins and 2 dollar coins . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	a girl saves 1-dollar coins a girl saves 2-dollar coins
anne and nancy use a metal alloy that is 24 .9 % copper to make jewelry . CANNOTDISTRIBUTE	NN0 CC0 NN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 .0 CANNOTDISTRIBUTE	anne use a metal alloy that is 24 .9 % copper to make jewelry . nancy use a metal alloy that is 24 .9 % copper to make jewelry .
some were single rooms and some were double rooms . CANNOTDISTRIBUTE	S0 S1 S2 S3 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	some were single rooms . some were double rooms .
the difference of 3 times a number and 5 is 40 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
didi invested a total of 12,000 dollars in two accounts paying 7 .5 % and 6 % simple interest . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 IN0 NP0 NP1 VBG0 NP0 NP1 NP2 CC0 ADJP0 ADJP1 JJ0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many shots of two point baskets and how many shots of three point baskets were made ? CANNOTDISTRIBUTE	X0 X1 X2 X3 X4 X5 X6 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 .0 CANNOTDISTRIBUTE	how many shots of two point baskets were made ? how many shots of three point baskets were made ?
her dad gave her 9 nickels and her mother gave her 2 nickels . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	her dad gave her 9 nickels her mother gave her 2 nickels
sam has 16 blue and 25 green balloons . CANNOTDISTRIBUTE	NP0 VBZ0 CD0 JJ0 CC0 CD0 JJ0 NNS0 .0 CANNOTDISTRIBUTE	sam has 16 blue balloons . sam has 25 green balloons .
harold had a summer lemonade stand where he sold small cups of lemonade for 1 .25 dollars and large cups for 2 .50 dollars . CANNOTDISTRIBUTE	NP0 VBD0 DT0 NN0 NN0 VB0 WHADVP0 NP0 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	harold had a summer lemonade stand where he sold small cups of lemonade for 1 .25 dollars . harold had a summer lemonade stand where he sold large cups of lemonade for 2 .50 dollars .
if the company paid 217,500 dollars for the trees , how many firs and pines did they buy ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 ,0 WHADJP0 WHADJP1 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	if the company paid 217 ,500 dollars for the trees , how many firs did they buy ? if the company paid 217 ,500 dollars for the trees , how many pines did they buy ?
how many are pigs are there and how many chicken are there ? CANNOTDISTRIBUTE	WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 .0 CANNOTDISTRIBUTE	how many are pigs are there ? how many chicken are there ?
a plane travels due east at 325 miles per hour and another plane travels due west at 275 miles per hour . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 .0 CANNOTDISTRIBUTE	a plane travels due east at 325 miles per hour a plane travels due west at 275 miles per hour .
a peach and a apple cost 70 cents . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
at the same prices , mackenzie bought 3 new compact disks and 8 used compact disks for 133 .89 dollars . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 NP0 VP0 VP1 VP2 VP3 VP4 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the cost of each apple and the cost of an orange . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	find the cost of each apple . find the cost of an orange .
together , jane and jill have 32 dolls . CANNOTDISTRIBUTE	ADVP0 ,0 NN0 CC0 NN0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a building with 12 units consists of 1 bedrooms costing 360 dollars and 2 bedrooms costing 450 dollars respectively . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NNS0 IN0 NP0 NP1 NP2 NP3 NP4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	a building with 12 units consists of 1 bedrooms costing 360 dollars . a building with 12 units consists of 2 bedrooms costing 450 dollars
at today 's matinee , there are 20 more children than adults and the total receipts are 405 dollars . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	at today 's matinee , there 's 20 more children than adults . at today 's matinee , the total receipts 's 405 dollars .
the first car has consumed 40 gallons during that week , and the second car has consumed 20 gallons , for a total of 1400 miles driven by the two cars combined . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
david bought 3 hamburgers and 2 servings of french fries at diane 's drive up for 6 .25 dollars . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 NP2 NP3 NP4 PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 PP8 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
